1R+2R+3R,4R
203,65
205,71
207,70
207,71
210,69
209,70
205,74
210,70
213,68
208,73
207,74
212,70
212,70
210,72
212,71
212,71
211,72
208,75
214,70
214,70
213,71
211,73
216,69
215,70
214,71
213,72
213,72
213,72
212,73
210,75
215,71
213,73
212,74
216,71
216,71
215,72
213,74
211,76
217,71
217,71
217,72
214,75
213,76
216,74
213,77
218,73
216,76
216,76
215,77
214,78
220,73
220,74
219,75
218,76
218,76
220,75
218,77
213,82
222,74
219,77
222,75
221,76
222,76
217,81
221,78
222,78
222,79
222,80
222,82
